epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,speed/val_median_ms,speed/val_p95_ms,speed/val_mean_ms,speed/val_fps,speed/val_throughput_fps,speed/val_flops_g
-1,,,,,,,,,,,,,,,215.24264999607112,224.9048099925858,215.25515605841946,4.645919384556236,4.645586351937043,28.4376576
0,,,,,,,,,,,,,,,218.62424998835195,228.79795000189912,220.15934015044795,4.574058001586186,4.542108275438925,28.4376576
1,584.315,4.04149,11.7163,3.91043,0.0,0.0,0.0,0.0,5.07547,5.56034,4.23546,0.000655367,0.000655367,0.000655367,215.2702000021236,253.78559500386473,219.50645151677733,4.645324805709918,4.5556104978273435,28.4376576
2,1164.82,2.87939,6.93974,2.99294,0.0,0.0,0.0,0.0,3.46533,4.39637,3.41261,0.00125659,0.00125659,0.00125659,206.43315000052098,227.37403000501214,208.00936969559794,4.844183213778777,4.807406009995446,28.4376576
3,1743.79,2.52642,4.70182,2.4906,0.32608,0.40541,0.31906,0.12424,2.23695,8.63244,2.48615,0.00179182,0.00179182,0.00179182,208.16025001113303,257.81857500260224,214.0387022732422,4.803991155595351,4.671985193264132,28.4376576
4,2322.25,2.38584,3.72656,2.4869,0.32454,0.46847,0.3947,0.17049,2.09703,6.20246,2.55502,0.001703,0.001703,0.001703,205.7708499924047,240.72942999919175,212.2167659108527,4.859774841951188,4.7121031858922,28.4376576
5,2903.67,2.19627,3.03419,2.26265,0.39697,0.4955,0.44306,0.18331,2.05617,3.35426,2.25607,0.001604,0.001604,0.001604,210.18374999403022,236.61823000147677,213.22173560651154,4.757741738019246,4.6898890621307725,28.4376576
6,3483.42,2.18574,2.61718,2.21459,0.48311,0.54054,0.52807,0.21096,1.99082,1.73317,2.20031,0.001505,0.001505,0.001505,212.25979999871925,228.058955007873,214.16961742502417,4.711207680427636,4.669133756767994,28.4376576
7,4056.97,2.1551,2.27009,2.25338,0.38105,0.63063,0.52687,0.23992,1.85421,1.52539,2.09068,0.001406,0.001406,0.001406,204.5053499896312,214.05397999042177,206.168478028496,4.889847625261157,4.850338684453574,28.4376576
8,4632.91,2.06473,2.00783,2.13103,0.4384,0.55856,0.53804,0.24879,1.86128,1.54773,2.07637,0.001307,0.001307,0.001307,207.57980001508258,250.99922001973025,217.51107500048502,4.817424431121625,4.597409579819706,28.4376576
9,5207.78,1.9426,1.86526,2.07605,0.51244,0.67568,0.61354,0.29162,1.8498,1.45926,2.07438,0.001208,0.001208,0.001208,224.46724999463186,360.3555049950955,257.0107136383409,4.454992877686679,3.8908433335139168,28.4376576
10,5783.95,1.94063,1.82828,2.04143,0.42816,0.64865,0.56906,0.25357,1.86816,1.56875,2.04157,0.001109,0.001109,0.001109,209.0730999916559,304.972835011722,240.36736818247434,4.783016084039075,4.160248039536443,28.4376576
11,6357.87,1.82593,1.74837,1.94838,0.54537,0.69369,0.63305,0.28655,1.79036,1.50866,1.96436,0.00101,0.00101,0.00101,198.45385001099203,257.5162999986787,211.09825378913558,5.038954900318697,4.737072198914412,28.4376576
12,6929.17,1.77665,1.55571,1.93316,0.53877,0.66299,0.67759,0.31215,1.76163,1.24973,1.97253,0.000911,0.000911,0.000911,226.2260499992408,329.56556000426644,238.70984621052312,4.420357425695918,4.189136783808309,28.4376576
13,7504.06,1.73086,1.3459,1.92676,0.69347,0.7027,0.81824,0.38326,1.70214,1.15483,1.91691,0.000812,0.000812,0.000812,225.919549993705,317.7056150118005,239.06435682059083,4.426354425847006,4.182922655464439,28.4376576
14,8074.54,1.76483,1.33235,1.90846,0.64157,0.73874,0.7382,0.34917,1.70805,1.15773,1.90709,0.000713,0.000713,0.000713,198.20465000520926,279.3580799989285,212.85272197035903,5.045290309655791,4.698026866800197,28.4376576
15,8690.63,1.75995,1.34919,1.91044,0.72369,0.73148,0.84668,0.43029,1.68892,1.1047,1.90628,0.000614,0.000614,0.000614,203.85504998557735,238.08681001246438,209.03237499861103,4.905446296624731,4.783883652645785,28.4376576
16,9264.76,1.68265,1.24133,1.8721,0.73862,0.78378,0.84326,0.43355,1.60312,1.07649,1.85401,0.000515,0.000515,0.000515,197.4365000060061,290.9902250074082,217.1697712121496,5.06491960690946,4.604633456367978,28.4376576
17,9841.14,1.6573,1.13255,1.83131,0.81339,0.82883,0.88942,0.44031,1.61577,1.04772,1.82925,0.000416,0.000416,0.000416,233.1840499973623,310.6336349825141,247.35009090760616,4.288457979914628,4.042808824859515,28.4376576
18,10412.0,1.5644,1.08046,1.7365,0.87579,0.8018,0.91176,0.44007,1.58698,1.02184,1.79086,0.000317,0.000317,0.000317,239.41954999463633,309.4827849941794,242.19924318260217,4.176768355058736,4.128782390449662,28.4376576
19,10985.4,1.66917,1.14309,1.78567,0.88624,0.86486,0.94044,0.45035,1.52962,1.03421,1.79015,0.000218,0.000218,0.000218,,,,,,
20,11565.6,1.61946,1.11831,1.79039,0.86811,0.86486,0.91465,0.47455,1.52776,0.97346,1.75413,0.000119,0.000119,0.000119,,,,,,
