epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,speed/val_median_ms,speed/val_p95_ms,speed/val_mean_ms,speed/val_fps,speed/val_throughput_fps,speed/val_flops_g
-1,,,,,,,,,,,,,,,105.44645000481978,111.58264998666709,105.59726969795796,9.48348664136433,9.46970471438039,8.0851968
0,,,,,,,,,,,,,,,105.92569998698309,111.17995000677182,106.2497628771587,9.44057957722146,9.411559698294939,8.0851968
1,267.296,1.38062,7.85942,1.15796,0.89932,0.80477,0.8135,0.46539,1.30635,3.35964,1.09611,0.000655367,0.000655367,0.000655367,105.83590000169352,110.03696999396197,105.94574015174823,9.448589750585564,9.438538727723207,8.0851968
2,533.099,1.47588,6.38411,1.33346,0.81095,0.82883,0.91621,0.50313,1.39429,1.88756,1.26148,0.00125659,0.00125659,0.00125659,102.72065000026487,107.5997299980372,102.97528484895311,9.735140889367635,9.710809732049652,8.0851968
3,789.572,1.52323,5.09156,1.35653,0.90588,0.91892,0.95343,0.55215,1.31036,1.84184,1.24487,0.00179182,0.00179182,0.00179182,104.04220000782516,113.18112499284324,105.4590803039239,9.611484569960925,9.482100936173385,8.0851968
4,1042.54,1.41626,3.94596,1.32631,0.76511,0.82167,0.84916,0.45333,1.37961,1.92522,1.3121,0.001703,0.001703,0.001703,102.84049998153932,106.84648500173353,102.73528181719347,9.723795588114681,9.733509272886067,8.0851968
5,1295.47,1.44794,3.22829,1.25879,0.92625,0.90518,0.96765,0.56333,1.27416,1.29133,1.21373,0.001604,0.001604,0.001604,104.01379999530036,108.86062499921536,104.11110227362246,9.614108897523048,9.60488228390123,8.0851968
6,1550.68,1.43311,2.35578,1.28682,0.91955,0.82383,0.93919,0.58901,1.26155,1.25161,1.19268,0.001505,0.001505,0.001505,106.21115000685677,112.0912749931449,106.89613484811906,9.415207348149814,9.354670135864621,8.0851968
7,1803.75,1.38251,2.02648,1.27507,0.93305,0.87883,0.95646,0.58884,1.25393,1.08198,1.18247,0.001406,0.001406,0.001406,102.91164999944158,113.95192498894174,104.20103333374506,9.717072848462017,9.596600430462269,8.0851968
8,2059.3,1.29668,1.56545,1.21673,0.94068,0.85726,0.96247,0.60194,1.26376,0.87607,1.21323,0.001307,0.001307,0.001307,105.51344999112189,128.63718000444348,108.53348863438993,9.477464722119711,9.213522547444706,8.0851968
9,2314.04,1.26523,1.35017,1.19003,0.9366,0.93163,0.97953,0.63386,1.19219,0.81677,1.17688,0.001208,0.001208,0.001208,102.17194999859203,112.83005999284795,102.78762651388675,9.787422086137932,9.728552527054504,8.0851968
10,2567.19,1.2486,1.25549,1.16966,0.94485,0.90991,0.98204,0.63633,1.1816,0.80872,1.17286,0.001109,0.001109,0.001109,103.81680000864435,144.8151200122083,109.47257803094213,9.632352373765466,9.134489475992673,8.0851968
11,2822.4,1.18726,1.05054,1.15442,0.97044,0.94595,0.98299,0.6555,1.15382,0.71585,1.14197,0.00101,0.00101,0.00101,102.29614999843761,106.01916499581421,102.62974924306477,9.775538962270556,9.743523662509809,8.0851968
12,3078.07,1.24402,0.96467,1.17809,0.96405,0.96628,0.98968,0.64573,1.17638,0.7573,1.14724,0.000911,0.000911,0.000911,102.45284999837168,112.67266000795642,103.38847802962515,9.760587431349087,9.672003954451242,8.0851968
13,3349.79,1.21755,0.9069,1.1559,0.97175,0.95495,0.99199,0.63594,1.20145,0.68032,1.15109,0.000812,0.000812,0.000812,107.84569999668747,119.07945500133792,108.29613105791698,9.272506924529354,9.233709941384248,8.0851968
14,3606.05,1.22261,0.92874,1.1347,0.95932,0.94595,0.9838,0.65038,1.19146,0.73367,1.11014,0.000713,0.000713,0.000713,105.94259998470079,110.59502498974325,107.16464393882427,9.439073612922567,9.331202001963812,8.0851968
15,3858.72,1.25871,0.86556,1.18293,0.9722,0.98198,0.99336,0.66892,1.18949,0.65132,1.15678,0.000614,0.000614,0.000614,106.79129998607095,117.14646000618812,107.74719318049557,9.364058683904329,9.280748527794804,8.0851968
16,4112.9,1.21473,0.81464,1.14563,0.98641,0.93694,0.98898,0.68425,1.14137,0.67148,1.11991,0.000515,0.000515,0.000515,108.00984999514185,112.00705499359174,108.42829621017727,9.258414857950259,9.222446134362821,8.0851968
17,4366.19,1.1352,0.77685,1.08215,0.98314,0.95495,0.99295,0.67587,1.17208,0.63309,1.12741,0.000416,0.000416,0.000416,107.54944999644067,120.6868100038264,108.79794696842454,9.298048479402683,9.191116632596891,8.0851968
18,4618.27,1.07067,0.72808,1.06156,0.97341,0.98942,0.99419,0.69122,1.12881,0.60033,1.1003,0.000317,0.000317,0.000317,105.1560000050813,108.90165999444434,105.38507575851823,9.50968085465098,9.488779292057762,8.0851968
19,4871.24,1.09495,0.72141,1.08349,0.99097,0.98908,0.99464,0.68878,1.12071,0.60577,1.11435,0.000218,0.000218,0.000218,,,,,,
20,5125.55,1.08696,0.70385,1.05333,0.97322,0.9823,0.99354,0.70164,1.10142,0.58322,1.09328,0.000119,0.000119,0.000119,,,,,,
