epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,speed/val_median_ms,speed/val_p95_ms,speed/val_mean_ms,speed/val_fps,speed/val_throughput_fps,speed/val_flops_g
-1,,,,,,,,,,,,,,,230.27914999693166,292.8388849977636,238.2943128801399,4.342555546228673,4.196438850490109,28.4376576
0,,,,,,,,,,,,,,,239.14544998842757,340.5404200195335,252.68603863757258,4.181555618341854,3.9574329636165664,28.4376576
1,1029.05,1.42729,2.13328,1.15802,0.97046,0.88803,0.96803,0.59964,1.2154,1.02524,1.12031,0.000655367,0.000655367,0.000655367,233.1675500026904,272.0133249953505,244.9673045471586,4.28876145067554,4.082125158810742,28.4376576
2,1918.37,1.40791,1.03926,1.20626,0.76194,0.79279,0.8251,0.46059,1.44114,1.35577,1.275,0.00125659,0.00125659,0.00125659,223.64535000815522,247.6578650006558,228.50123712079508,4.47136504274976,4.376289308288097,28.4376576
3,2803.19,1.347,0.86634,1.17716,0.71949,0.53148,0.62279,0.35992,1.54534,2.3657,1.31015,0.00179182,0.00179182,0.00179182,223.97714998805895,250.07103499374352,231.0457840918168,4.464741157985596,4.328093870768344,28.4376576
4,3704.39,1.45421,0.95725,1.25728,0.90972,0.87387,0.95953,0.55627,1.3486,2.38167,1.26714,0.001703,0.001703,0.001703,221.6900000057649,254.5292550086742,226.7817719709428,4.510803373963624,4.409462854267909,28.4376576
5,4628.56,1.39837,0.86892,1.21285,0.94802,0.93694,0.98632,0.59604,1.40675,0.76898,1.26975,0.001604,0.001604,0.001604,237.12069999601226,294.38691498944524,248.5471962142831,4.2172615044440125,4.023330795416585,28.4376576
6,5502.96,1.34484,0.79328,1.21694,0.97154,0.92251,0.98675,0.58226,1.27705,0.81168,1.17845,0.001505,0.001505,0.001505,225.1991000084672,315.46650001546345,237.52494090854958,4.440515081820492,4.210029545732085,28.4376576
7,6373.25,1.28367,0.75767,1.15612,0.97464,0.95495,0.99223,0.6012,1.23382,0.69846,1.15849,0.001406,0.001406,0.001406,224.91675001219846,252.01685999782057,228.66079772674394,4.446089497317406,4.373234884128604,28.4376576
8,7244.37,1.319,0.76052,1.17451,0.96449,0.96396,0.98873,0.66826,1.20268,0.69315,1.17117,0.001307,0.001307,0.001307,229.5124499942176,302.779000009468,241.75828636604516,4.357062111555143,4.136309886270543,28.4376576
9,8113.05,1.3328,0.70017,1.19401,0.97319,0.98198,0.99374,0.66928,1.21072,0.64814,1.17977,0.001208,0.001208,0.001208,238.80034999456257,285.90002998971613,247.94913484925706,4.187598552610035,4.033035066863867,28.4376576
10,8987.21,1.27764,0.66948,1.15132,0.96215,0.97297,0.99129,0.65721,1.17518,0.64706,1.10487,0.001109,0.001109,0.001109,222.02015001676045,236.3087199817528,225.9913128789666,4.504095686470391,4.424891904922282,28.4376576
11,9853.11,1.21329,0.66445,1.14679,0.98054,0.98198,0.99385,0.65854,1.17184,0.70712,1.12902,0.00101,0.00101,0.00101,218.9924999984214,238.65915499336543,221.577030302962,4.566366428106937,4.51304456041458,28.4376576
12,10720.3,1.21775,0.63168,1.17016,0.96528,0.96396,0.99164,0.6572,1.17843,0.63952,1.11004,0.000911,0.000911,0.000911,218.99155000573955,235.8811600031913,221.17322878903272,4.566386237157511,4.52128590577732,28.4376576
13,11587.7,1.22826,0.63766,1.16295,0.97315,1.0,0.99456,0.64199,1.2847,0.59989,1.16197,0.000812,0.000812,0.000812,226.0095500096213,281.7067950018098,235.96369015197553,4.424591792503589,4.237886720768416,28.4376576
14,12456.6,1.20548,0.62202,1.14887,0.98932,0.99099,0.99491,0.69259,1.13693,0.54459,1.10635,0.000713,0.000713,0.000713,226.795900016441,244.85896499245428,228.8400833325189,4.409250784196308,4.369806139875187,28.4376576
15,13325.4,1.15476,0.57056,1.10772,0.97849,1.0,0.99375,0.67827,1.16866,0.54406,1.10772,0.000614,0.000614,0.000614,224.53135000250768,278.7915999972027,234.54921742394976,4.453721050485073,4.263441720111319,28.4376576
16,14197.3,1.14381,0.57204,1.09823,0.97786,1.0,0.99465,0.6913,1.15829,0.52554,1.09288,0.000515,0.000515,0.000515,226.38905001804233,301.9490549908369,239.89898560433755,4.417174770247518,4.168371067278224,28.4376576
17,15082.5,1.13905,0.55544,1.09444,0.96246,1.0,0.9931,0.67226,1.13216,0.5345,1.08968,0.000416,0.000416,0.000416,217.6768999925116,251.02064498059914,223.52565378814964,4.593964724940503,4.473701366848181,28.4376576
18,15957.6,1.10596,0.53802,1.07393,0.98685,0.99099,0.995,0.7223,1.03979,0.48405,1.05122,0.000317,0.000317,0.000317,208.3606499945745,216.93251499382313,209.88320303017233,4.799370706637933,4.764481053623811,28.4376576
19,16832.3,1.10346,0.53923,1.10301,0.99101,0.99286,0.995,0.73066,1.04637,0.46522,1.05012,0.000218,0.000218,0.000218,,,,,,
20,17714.8,1.10335,0.51455,1.07946,0.99242,0.98198,0.99482,0.69378,1.14069,0.47527,1.08751,0.000119,0.000119,0.000119,,,,,,
